latitud,longitud,radio_error,n_gruas,direccion,num,cp,provincia,comunidad,pais,uso1,uso2,obra_nueva
41.4096603394,1.9223099947,,,Carrer de Pere Calders,,08757,Corbera de Llobregat,Catalonia,ES,otros,industrial,1
41.2450490359,1.8092254823,,,Carrer de Josep Soler i Tasis,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.2443,1.80813,,,Carrer de Salvador Robert i Raventos,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.2413356,1.8007891,,,Rugby,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.4024200439,2.0289599895,,,Avinguda de Barcelona,,08750,Molins de Rei,Catalonia,ES,otros,industrial,1
41.2361556,1.7892434,,,Carrer Alt del Vinyet,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.2388271,1.8216712,,,Passatge de Josep Pages,,08870,Sitges,Catalonia,ES,residencial,residencial,1
41.2154147138,1.7271905458,,,Equus,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2254745,1.7291247,,,Carrer de Francesc de Sales i Vidal,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2179956518,1.6901700672,,,Carrer de l'Agricultura,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2182348,1.7282381,,,Rambla de la Pau,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2239764981,1.7424927311,,,carrer de Jordi Puig-La Calle,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2311341,1.7261021,,,Rambla de Pep Ventura,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2176351337,1.7257218884,,,Rambla de Joan Baptista Pirelli,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.2218016,1.6944089,,,Carrer del Garbell,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.7295684814,1.8190699816,,,Avinguda de Tudela,,08240,Manresa,Catalonia,ES,otros,industrial,1
41.2171839,1.7277768,,,Carrer de Pere Jacas,,08800,Vilanova i la Geltru,Catalonia,ES,residencial,residencial,1
41.4535854732,2.2149049035,,,L9,,08921,Santa Coloma de Gramenet,Catalonia,ES,residencial,residencial,1
41.4604968,2.2068415,,,Carrer de Canaries,,08924,Santa Coloma de Gramenet,Catalonia,ES,residencial,residencial,1
41.6999092102,2.7230401039,,,Carrer de Roger de Lluria,,08490,Tordera,Catalonia,ES,residencial,residencial,1
41.7065315247,2.7246999741,,,Carrer de Miguel Hernandez,,08490,Tordera,Catalonia,ES,residencial,residencial,1
41.8637619019,1.9719400406,,,Carrer del Doctor Fleming,,,Avinyo,Catalonia,ES,residencial,residencial,1
41.6955299377,2.7174899578,,,Carrer de Catalunya,,08490,Tordera,Catalonia,ES,residencial,residencial,1
41.7835502625,1.7856299877,,,Carrer de Bonavista,,08250,Callus,Catalonia,ES,residencial,residencial,1
41.8260116577,1.8969700336,,,Carrer de Jordi Kung,,,Sallent,Catalonia,ES,residencial,residencial,1
41.7847595215,1.8392599821,,,Carrer Ample,,08251,Santpedor,Catalonia,ES,residencial,residencial,1
41.7841796875,1.8366400003,,,Carrer de Josep Espinal,,08251,Santpedor,Catalonia,ES,residencial,residencial,1
41.3946151733,1.8441610336,,,N-340 Carretera de Cadiz i Gibraltar a Barcelona,,,Subirats,Catalonia,ES,residencial,residencial,1
41.7841911316,1.8387099504,,,Carrer de Font Barrera,,08251,Santpedor,Catalonia,ES,residencial,residencial,1
41.4168319702,1.7087163925,,,Carrer de Barcelona,,08733,el Pla del Penedes,Catalonia,ES,residencial,residencial,1
41.4612236023,1.6633353233,,,Avinguda de Catalunya,,08776,Sant Quinti de Mediona,Catalonia,ES,residencial,residencial,1
41.8339614868,1.7557599545,,,Carrer del Transformador,,08260,Suria,Catalonia,ES,residencial,residencial,1
41.9863014221,2.312609911,,,Carrer Collsacabra,,08560,Roda de Ter,Catalonia,ES,residencial,residencial,1
42.0426832,2.2704992,,,carrer Manlleu,,08570,Torello,Catalonia,ES,residencial,residencial,1
41.9864997864,2.093100071,,,Passeig de Montserrat,,08516,Olost,Catalonia,ES,residencial,residencial,1
